Date,Crop_Type,Soil_Type,Temperature_C,Humidity_Percent,Rainfall_mm,Soil_Moisture_Percent,Irrigation_Needed_Liters
2023-01-01,Maize,Clay,20.5,74.58,4.54,33.92,20.6
2023-01-02,Cotton,Silt,25.01,30.0,5.26,21.13,41.33
2023-01-03,Rice,Silt,44.77,63.22,4.73,20.14,57.14
2023-01-04,Cotton,Loamy,27.0,23.27,18.2,19.66,47.54
2023-01-05,Cotton,Silt,30.43,61.47,0.24,32.15,38.02
2023-01-06,Rice,Silt,43.27,59.43,2.43,20.32,58.39
2023-01-07,Maize,Loamy,35.5,62.7,8.95,18.47,52.35
2023-01-08,Rice,Silt,37.66,49.76,1.17,31.35,57.19
2023-01-09,Rice,Sandy,28.49,47.66,13.06,19.55,53.96
2023-01-10,Maize,Clay,43.84,79.12,6.88,35.79,33.52
2023-01-11,Wheat,Silt,33.21,39.32,1.76,23.31,42.09
2023-01-12,Wheat,Silt,26.85,40.54,0.07,23.98,31.27
2023-01-13,Cotton,Clay,33.18,84.84,5.26,43.3,22.1
2023-01-14,Maize,Sandy,17.86,45.96,5.53,18.32,38.55
2023-01-15,Cotton,Loamy,29.17,28.37,6.25,30.22,40.37
2023-01-16,Cotton,Clay,36.32,27.76,2.89,29.03,57.37
2023-01-17,Wheat,Silt,31.9,68.69,0.75,32.09,35.24
2023-01-18,Sugarcane,Silt,43.29,61.92,5.93,37.61,60.75
2023-01-19,Wheat,Clay,41.14,76.26,1.03,42.85,25.24
2023-01-20,Rice,Loamy,41.88,42.26,0.58,19.56,74.56
2023-01-21,Maize,Clay,40.82,20.49,3.57,33.35,51.33
2023-01-22,Cotton,Sandy,25.13,86.0,1.95,15.38,46.22
2023-01-23,Wheat,Sandy,44.15,87.37,1.45,14.94,48.81
2023-01-24,Wheat,Silt,16.11,62.67,3.49,21.03,23.67
2023-01-25,Wheat,Clay,22.19,30.14,3.36,44.71,23.45
2023-01-26,Maize,Loamy,37.85,36.63,6.51,22.36,48.79
2023-01-27,Cotton,Loamy,17.71,78.47,1.93,18.73,37.24
2023-01-28,Maize,Silt,35.33,21.16,3.59,24.53,53.87
2023-01-29,Maize,Clay,35.73,47.07,13.8,27.75,32.05
2023-01-30,Wheat,Sandy,42.74,81.41,1.49,18.2,51.9
2023-01-31,Wheat,Silt,30.89,36.93,0.49,37.94,47.4
2023-02-01,Cotton,Loamy,25.17,44.44,6.47,32.94,32.32
2023-02-02,Wheat,Silt,40.53,85.49,7.69,33.38,30.48
2023-02-03,Wheat,Loamy,44.21,39.87,1.82,24.71,49.69
2023-02-04,Sugarcane,Clay,20.28,21.27,3.41,28.58,59.2
2023-02-05,Cotton,Clay,24.24,57.98,3.55,37.73,28.5
2023-02-06,Sugarcane,Loamy,41.76,64.18,7.92,25.05,60.46
2023-02-07,Wheat,Clay,21.91,54.94,4.24,40.37,12.26
2023-02-08,Maize,Silt,29.1,39.57,10.75,34.95,35.72
2023-02-09,Sugarcane,Clay,31.58,60.06,19.64,26.51,48.83
2023-02-10,Wheat,Silt,29.56,46.09,2.51,36.88,32.58
2023-02-11,Rice,Silt,35.13,45.11,1.47,25.91,58.94
2023-02-12,Wheat,Clay,36.07,45.16,1.74,41.19,31.86
2023-02-13,Wheat,Silt,42.4,55.79,3.48,35.97,40.9
2023-02-14,Maize,Loamy,25.14,46.29,0.49,26.57,30.22
2023-02-15,Wheat,Sandy,31.28,40.06,4.47,5.61,47.22
2023-02-16,Cotton,Silt,24.8,77.95,1.58,39.31,24.74
2023-02-17,Sugarcane,Silt,30.94,57.84,5.07,34.52,57.86
2023-02-18,Maize,Sandy,24.69,75.66,1.58,13.78,35.47
2023-02-19,Sugarcane,Sandy,43.88,78.52,5.95,13.18,68.04
2023-02-20,Wheat,Loamy,22.51,58.45,6.27,28.2,18.68
2023-02-21,Sugarcane,Loamy,34.71,50.5,6.55,15.95,70.4
2023-02-22,Cotton,Clay,18.6,43.93,0.48,26.88,28.87
2023-02-23,Maize,Clay,29.23,26.85,3.38,34.47,41.04
2023-02-24,Sugarcane,Loamy,16.44,86.44,10.89,20.22,32.09
2023-02-25,Cotton,Sandy,30.03,57.76,5.76,17.32,52.66
2023-02-26,Rice,Clay,41.02,64.55,8.07,38.54,55.44
2023-02-27,Wheat,Clay,39.34,77.44,4.92,41.41,25.91
2023-02-28,Cotton,Silt,23.22,35.02,2.37,20.78,40.71
2023-03-01,Wheat,Sandy,24.57,79.14,0.12,21.29,18.69
2023-03-02,Maize,Sandy,35.9,64.03,10.5,19.7,49.82
2023-03-03,Wheat,Silt,20.32,72.54,8.22,39.81,14.48
2023-03-04,Rice,Clay,38.29,43.86,13.35,42.17,39.57
2023-03-05,Sugarcane,Loamy,37.64,27.22,11.64,25.11,66.96
